observed_var,observed_val,query_var,distance,true_prob,markovian_scaff_gen_layer_0,markovian_scaff_gen_layer_1,markovian_scaff_gen_layer_2,markovian_scaff_gen_layer_3,markovian_scaff_gen_layer_4,markovian_scaff_gen_layer_5,markovian_scaff_gen_layer_6,markovian_scaff_gen_layer_7,markovian_scaff_gen_layer_8
A,0,B,1,0.0,0.5087504386901855,0.5053715705871582,0.43091240525245667,0.4195574223995209,0.2915455996990204,0.22727450728416443,0.18147441744804382,0.15992963314056396,0.005522221326828003
A,1,B,1,1.0,0.5087504386901855,0.5344454646110535,0.5663800239562988,0.6324926018714905,0.6964718699455261,0.7520098090171814,0.7900579571723938,0.8031876087188721,0.9895387291908264
A,0,C,2,1.0,0.5087504386901855,0.5044002175331116,0.4932121276855469,0.514961302280426,0.5684741199016571,0.5139444172382355,0.5696249395608902,0.6271341502666473,0.8448752367869019
A,1,C,2,0.0,0.5087504386901855,0.5069218397140502,0.501046895980835,0.48744314908981323,0.43703206181526183,0.4699510261416435,0.36031382381916044,0.29193457365036013,0.01544036902487278
A,0,D,3,1.0,0.5087504386901855,0.5030451625585556,0.5045559525489807,0.5023071467876434,0.5338138937950134,0.4410679280757904,0.7282875671982765,0.7378259330987931,0.8900446038693189
A,1,D,3,0.0,0.5087504386901855,0.5122297525405883,0.5165591925382614,0.5218162089586258,0.3392787128686905,0.5432554841041565,0.4301480621099472,0.35959907472133634,0.00820646807551384
A,0,E,4,1.0,0.5087504386901855,0.5207723259925843,0.4869139015674591,0.532708466053009,0.45715556740760804,0.5490767002105713,0.6149703577160835,0.551159656047821,0.9924610257148743
A,1,E,4,0.0,0.5087504386901855,0.5135088384151458,0.5163674235343934,0.4636521339416504,0.45715556740760804,0.5490767002105713,0.5524433076381683,0.22157045304775239,0.10415196595713497
B,0,A,1,0.0,0.5087504386901855,0.5030500292778015,0.42819613218307495,0.40905487537384033,0.2888333201408386,0.22592779994010925,0.1822606921195984,0.16230694949626923,0.005537251941859722
B,1,A,1,1.0,0.5087504386901855,0.533602774143219,0.5646315813064575,0.6347805261611938,0.7074548602104187,0.7646084427833557,0.8046739101409912,0.8190261721611023,0.9924960136413574
