observed_var,observed_val,query_var,distance,true_prob,markovian_scaff_gen_layer_0,markovian_scaff_gen_layer_1,markovian_scaff_gen_layer_2,markovian_scaff_gen_layer_3,markovian_scaff_gen_layer_4,markovian_scaff_gen_layer_5,markovian_scaff_gen_layer_6,markovian_scaff_gen_layer_7,markovian_scaff_gen_layer_8
A,0,B,1,1.0,0.49996301531791687,0.4723767936229706,0.5996046662330627,0.7839304804801941,0.9726617932319641,0.9960200190544128,0.9993357062339783,0.999947190284729,0.9569538831710815
A,1,B,1,0.0,0.49996301531791687,0.4429987668991089,0.5371566414833069,0.6529740691184998,0.1948077529668808,0.006330979987978935,0.0008315262384712696,4.771399107994512e-05,0.026450052857398987
A,0,C,2,1.0,0.49996301531791687,0.47341005504131317,0.6012707948684692,0.7602600216865539,0.9243871808052063,0.9957755208015442,0.9992740750312805,0.9999393224716187,0.9564539194107056
A,1,C,2,0.0,0.49996301531791687,0.4825729638338089,0.6012707948684692,0.7602600216865539,0.598356020450592,0.1616898626089096,0.017402486875653267,0.001589410356245935,0.042032185941934586
A,0,D,3,0.0,0.49996301531791687,0.4639648824930191,0.5583868622779846,0.6743683636188507,0.3463555634021759,0.014964182861149311,0.002421997720375657,0.0001593172928551212,0.03627622500061989
A,1,D,3,1.0,0.49996301531791687,0.46772359013557435,0.5583868622779846,0.6743683636188507,0.6928090810775757,0.9965284466743469,0.8996724449330941,0.9999525547027588,0.9557905793190002
A,0,E,4,0.0,0.49996301531791687,0.4759868919849396,0.6007596969604492,0.7460193514823914,0.6385452389717102,0.15663769841194153,0.017387913540005684,0.0016879113391041756,0.13758820965886115
A,1,E,4,1.0,0.49996301531791687,0.47187802493572234,0.5936195135116578,0.7439265489578247,0.7783008098602295,0.9106536716222763,0.9989585876464844,0.9999082088470459,0.9484618306159973
B,0,A,1,1.0,0.49996301531791687,0.47321468591690063,0.6031140089035034,0.7836666703224182,0.9739952087402344,0.9964421391487122,0.9993964433670044,0.999951958656311,0.9567924737930298
B,1,A,1,0.0,0.49996301531791687,0.4425373375415802,0.5373535752296448,0.6510095596313477,0.1965009868144989,0.006790401414036751,0.0009216978796757758,5.569637505686842e-05,0.027959220111370087
B,0,C,1,0.0,0.49996301531791687,0.4963173270225525,0.6143894195556641,0.7304475903511047,0.5052042603492737,0.1616898626089096,0.017402486875653267,0.001589410356245935,0.042032185941934586
